Cambios Morfológicos Detectados
==================================================

parts                → part
muscles              → muscle
joints               → joint
rendered             → render
conceived            → conceive
passed               → pass
felt                 → feel
sank                 → sink
mingled              → mingle
felt                 → feel
dreams               → dream
dawned               → dawn
discovered           → discover
aching               → ache
eyes                 → eye
indicated            → indicate
opened               → open
gates                → gate
issued               → issue
streets              → street
pacing               → pace
steps                → step
sought               → seek
feared               → fear
inhabited            → inhabit
impelled             → impel
drenched             → drench
poured               → pour
continued            → continue
walking              → walk
endeavouring         → endeavour
weighed              → weigh
traversed            → traverse
streets              → street
palpitated           → palpitate
hurried              → hurry
steps                → step
daring               → dare
turned               → turn
walks                → walk
turns                → turn
knows                → know
continuing           → continue
came                 → come
diligences           → diligence
carriages            → carriage
stopped              → stop
paused               → pause
knew                 → know
remained             → remain
minutes              → minute
eyes                 → eye
fixed                → fix
coming               → come
drew                 → draw
observed             → observe
stopped              → stop
standing             → stand
opened               → open
perceived            → perceive
seeing               → see
sprung               → spring
exclaimed            → exclaim
alighting            → alight
seeing               → see
brought              → bring
thoughts             → thought
scenes               → scene
grasped              → grasp
forgot               → forget
felt                 → feel
months               → month
welcomed             → welcome
walked               → walk
continued            → continue
talking              → talk
friends              → friend
permitted            → permit
said                 → say
comprised            → comprise
left                 → leave
entreaties           → entreaty
florins              → florin
overcame             → overcome
permitted            → permit
gives                → give
greatest             → great
left                 → leave
brothers             → brother
continued            → continue
stopping             → stop
gazing               → gaze
watching             → watch
nights               → night
guessed              → guess
allowed              → allow
employments          → employment
trembled             → tremble
occurrences          → occurrence
preceding            → precede
walked               → walk
arrived              → arrive
reflected            → reflect
left                 → leave
walking              → walk
dreaded              → dread
feared               → fear
entreating           → entreat
minutes              → minute
stairs               → stair
darted               → dart
recollected          → recollect
paused               → pause
came                 → come
threw                → throw
children             → child
waiting              → wait
appeared             → appear
stepped              → step
freed                → free
befallen             → befall
assured              → assure
fled                 → flee
clapped              → clap
hands                → hand
ran                  → run
ascended             → ascend
brought              → bring
possessed            → possess
felt                 → feel
jumped               → jump
chairs               → chair
clapped              → clap
hands                → hand
laughed              → laugh
attributed           → attribute
spirits              → spirit
observed             → observe
saw                  → see
eyes                 → eye
frightened           → frighten
astonished           → astonish
cried                → cry
cried                → cry
putting              → put
hands                → hand
eyes                 → eye
thought              → think
saw                  → see
dreaded              → dread
imagined             → imagine
seized               → seize
struggled            → struggle
fell                 → fall
feelings             → feeling
anticipated          → anticipate
turned               → turn
senses               → sense
confined             → confine
months               → month
learned              → learn
knowing              → know
spared               → spare
concealing           → conceal
knew                 → know
felt                 → feel
performed            → perform
kindest              → kind
attentions           → attention
restored             → restore
bestowed             → bestow
eyes                 → eye
raved                → rave
concerning           → concern
words                → word
surprised            → surprise
believed             → believe
wanderings           → wandering
recurred             → recur
persuaded            → persuade
owed                 → owe
degrees              → degree
relapses             → relapse
alarmed              → alarm
grieved              → grieve
recovered            → recover
observing            → observe
objects              → object
perceived            → perceive
fallen               → fall
leaves               → leave
disappeared          → disappear
buds                 → bud
shooting             → shoot
trees                → tree
shaded               → shade
contributed          → contribute
felt                 → feel
sentiments           → sentiment
disappeared          → disappear
attacked             → attack
exclaimed            → exclaim
spent                → spend
promised             → promise
consumed             → consume
greatest             → great
spirits              → spirit
trembled             → tremble
dared                → dare
said                 → say
observed             → observe
agitates             → agitate
received             → receive
friends              → friend
lying                → lie
days                 → day
following            → follow
hands                → hand
dearest              → dear
letters              → letter
forbidden            → forbid
apprehensions        → apprehension
thought              → think
persuasions          → persuasion
restrained           → restrain
undertaking          → undertake
prevented            → prevent
encountering         → encounter
inconveniences       → inconvenience
dangers              → danger
regretted            → regret
attending            → attend
devolved             → devolve
wishes               → wish
writes               → write
getting              → get
better               → well
friends              → friend
asks                 → ask
assured              → assure
elder                → eld
returns              → return
powers               → power
looks                → look
spent                → spend
climbing             → climb
hills                → hill
rowing               → row
selected             → select
children             → child
taken                → take
left                 → leave
clad                 → clothe
mountains            → mountain
hearts               → heart
regulated            → regulate
laws                 → law
occupations          → occupation
rewarded             → reward
exertions            → exertion
seeing               → see
faces                → face
left                 → leave
taken                → take
entered              → enter
words                → word
children             → child
treated              → treat
observed             → observe
years                → year
prevailed            → prevail
institutions         → institution
produced             → produce
simpler              → simple
happier              → happy
manners              → manner
monarchies           → monarchy
classes              → class
inhabitants          → inhabitant
lower                → low
orders               → order
despised             → despise
manners              → manner
received             → receive
learned              → learn
duties               → duty
remarked             → remark
gives                → give
concerning           → concern
looked               → look
conceived            → conceive
induced              → induce
intended             → intend
repaid               → repay
professions          → profession
heard                → hear
lips                 → lip
eyes                 → eye
adored               → adore
respects             → respect
paid                 → pay
greatest             → great
thought              → think
endeavoured          → endeavour
manners              → manner
reminds              → remind
dearest              → dear
died                 → die
occupied             → occupy
attended             → attend
trials               → trial
reserved             → reserve
brothers             → brother
died                 → die
neglected            → neglect
left                 → leave
began                → begin
deaths               → death
favourites           → favourite
confirmed            → confirm
conceived            → conceive
months               → month
called               → call
wept                 → weep
quitted              → quit
altered              → alter
given                → give
winning              → win
manners              → manner
vacillating          → vacillate
begged               → beg
accused              → accuse
caused               → cause
deaths               → death
brothers             → brother
fretting             → fret
threw                → throw
increased            → increase
died                 → die
returned             → return
mentioned            → mention
words                → word
laughing             → laugh
eyes                 → eye
eyelashes            → eyelash
curling              → curl
smiles               → smile
dimples              → dimple
wives                → wife
years                → year
indulged             → indulge
concerning           → concern
received             → receive
visits               → visit
approaching          → approach
married              → marry
suffered             → suffer
misfortunes          → misfortune
recovered            → recover
spirits              → spirit
reported             → report
marrying             → marry
older                → old
admired              → admire
written              → write
better               → well
spirits              → spirit
returns              → return
dearest              → dear
thanks               → thank
letters              → letter
exclaimed            → exclaim
wrote                → write
fatigued             → fatigue
commenced            → commence
proceeded            → proceed
duties               → duty
professors           → professor
underwent            → undergo
befitting            → befit
wounds               → wound
sustained            → sustain
labours              → labour
misfortunes          → misfortune
conceived            → conceive
restored             → restore
symptoms             → symptom
saw                  → see
removed              → remove
changed              → change
perceived            → perceive
acquired             → acquire
cares                → care
visited              → visit
professors           → professor
inflicted            → inflict
praised              → praise
sciences             → science
perceived            → perceive
disliked             → dislike
guessing             → guess
attributed           → attribute
feelings             → feeling
changed              → change
saw                  → see
drawing              → draw
meant                → mean
tormented            → torment
felt                 → feel
placed               → place
instruments          → instrument
putting              → put
writhed              → writhe
words                → word
dared                → dare
felt                 → feel
eyes                 → eye
feelings             → feeling
discerning           → discern
sensations           → sensation
declined             → decline
took                 → take
thanked              → thank
saw                  → see
attempted            → attempt
loved                → love
knew                 → know
bounds               → bound
feared               → fear
encomiums            → encomium
gave                 → give
cried                → cry
years                → year
believed             → believe
pulled               → pull
continued            → continue
observing            → observe
men                  → man
wears                → wear
commenced            → commence
turned               → turn
sympathised          → sympathise
tastes               → taste
pursuits             → pursuit
differed             → differ
occupied             → occupy
came                 → come
making               → make
languages            → language
marked               → mark
resolved             → resolve
turned               → turn
eyes                 → eye
languages            → language
engaged              → engage
induced              → induce
studies              → study
wished               → wish
hated                → hate
studies              → study
felt                 → feel
found                → find
works                → work
orientalists         → orientalist
dialects             → dialect
making               → make
repaid               → repay
labours              → labour
soothing             → soothe
elevating            → elevate
experienced          → experience
studying             → study
authors              → author
writings             → writing
appears              → appear
smiles               → smile
frowns               → frown
consumes             → consume
passed               → pass
occupations          → occupation
fixed                → fix
delayed              → delay
accidents            → accident
arrived              → arrive
roads                → road
deemed               → deem
retarded             → retard
ensuing              → ensue
felt                 → feel
longed               → long
friends              → friend
delayed              → delay
acquainted           → acquaint
inhabitants          → inhabitant
spent                → spend
came                 → come
compensated          → compensate
commenced            → commence
expected             → expect
proposed             → propose
environs             → environ
inhabited            → inhabit
acceded              → accede
taken                → take
scenes               → scene
passed               → pass
perambulations       → perambulation
spirits              → spirit
restored             → restore
gained               → gain
breathed             → breathe
incidents            → incident
secluded             → seclude
creatures            → creature
rendered             → render
called               → call
better               → well
feelings             → feeling
taught               → teach
faces                → face
children             → child
cramped              → cramp
narrowed             → narrow
warmed               → warm
opened               → open
senses               → sense
years                → year
loved                → love
beloved              → belove
bestowing            → bestow
sensations           → sensation
fields               → field
filled               → fill
flowers              → flower
bloomed              → bloom
hedges               → hedge
undisturbed          → undisturbe
thoughts             → thought
preceding            → precede
pressed              → press
endeavours           → endeavour
rejoiced             → rejoice
sympathised          → sympathise
feelings             → feeling
exerted              → exert
expressed            → express
sensations           → sensation
filled               → fill
resources            → resource
writers              → writer
invented             → invent
tales                → tale
times                → time
repeated             → repeat
poems                → poem
drew                 → draw
arguments            → argument
supported            → support
returned             → return
peasants             → peasant
dancing              → dance
met                  → meet
appeared             → appear
spirits              → spirit
bounded              → bound
feelings             → feeling
found                → find
following            → follow
waited               → wait
tempted              → tempt
lines                → line
mentioning           → mention
expected             → expect
tears                → tear
rendered             → render
joys                 → joy
griefs               → grief
skims                → skim
words                → word
tidings              → tiding
smiles               → smile
delighted            → delight
warmed               → warm
murdered             → murder
circumstances        → circumstance
brothers             → brother
went                 → go
prolonged            → prolong
farther              → far
thought              → think
returning            → return
discovered           → discover
gone                 → go
found                → find
rested               → rest
came                 → come
enquired             → enquire
seen                 → see
said                 → say
playing              → play
sought               → seek
waited               → wait
alarmed              → alarm
continued            → continue
fell                 → fall
conjectured          → conjecture
returned             → return
returned             → return
torches              → torch
thought              → think
lost                 → lose
exposed              → expose
damps                → damp
dews                 → dew
suffered             → suffer
discovered           → discover
seen                 → see
blooming             → bloom
stretched            → stretch
conveyed             → convey
betrayed             → betray
attempted            → attempt
persisted            → persist
entering             → enter
examined             → examine
clasping             → clasp
hands                → hand
exclaimed            → exclaim
murdered             → murder
fainted              → faint
restored             → restore
lived                → live
told                 → tell
teased               → tease
possessed            → possess
gone                 → go
urged                → urge
exertions            → exertion
weeps                → weep
accuses              → accuse
words                → word
youngest             → young
brooding             → brood
thoughts             → thought
feelings             → feeling
wounds               → wound
minds                → mind
enemies              → enemy
afflicted            → afflict
watched              → watch
succeeded            → succeed
expressed            → express
receiving            → receive
friends              → friend
threw                → throw
covered              → cover
hands                → hand
exclaimed            → exclaim
perceived            → perceive
happened             → happen
motioned             → motion
walked               → walk
extremest            → extreme
tears                → tear
gushed               → gush
eyes                 → eye
said                 → say
horses               → horse
endeavoured          → endeavour
words                → word
said                 → say
sleeps               → sleep
seen                 → see
murdered             → murder
friends              → friend
sufferings           → suffering
covers               → cover
knows                → know
longer               → long
survivors            → survivor
spoke                → speak
hurried              → hurry
streets              → street
words                → word
impressed            → impress
remembered           → remember
horses               → horse
arrived              → arrive
hurried              → hurry
wished               → wish
longed               → long
sorrowing            → sorrow
friends              → friend
drew                 → draw
slackened            → slacken
feelings             → feeling
crowded              → crowd
passed               → pass
scenes               → scene
seen                 → see
years                → year
altered              → alter
desolating           → desolate
taken                → take
circumstances        → circumstance
degrees              → degree
worked               → work
alterations          → alteration
overcame             → overcome
dared                → dare
dreading             → dread
evils                → evil
remained             → remain
days                 → day
contemplated         → contemplate
waters               → water
mountains            → mountain
palaces              → palace
changed              → change
degrees              → degree
restored             → restore
continued            → continue
ran                  → run
narrower             → narrow
approached           → approach
discovered           → discover
sides                → side
wept                 → weep
mountains            → mountain
summits              → summit
dwelling             → dwell
circumstances        → circumstance
days                 → day
took                 → take
beholding            → behold
streams              → stream
mountains            → mountain
drew                 → draw
overcame             → overcome
closed               → close
mountains            → mountain
felt                 → feel
appeared             → appear
destined             → destine
beings               → being
prophesied           → prophesy
failed               → fail
imagined             → imagine
dreaded              → dread
destined             → destine
arrived              → arrive
environs             → environ
gates                → gate
obliged              → oblige
resolved             → resolve
murdered             → murder
obliged              → oblige
saw                  → see
playing              → play
figures              → figure
appeared             → appear
ascended             → ascend
advanced             → advance
heavens              → heaven
felt                 → feel
coming               → come
drops                → drop
increased            → increase
quitted              → quit
walked               → walk
increased            → increase
echoed               → echo
flashes              → flash
dazzled              → dazzle
eyes                 → eye
illuminating         → illuminate
making               → make
recovered            → recover
preceding            → precede
appeared             → appear
parts                → part
heavens              → heaven
hung                 → hang
lies                 → lie
enlightened          → enlighten
flashes              → flash
darkened             → darken
disclosed            → disclose
watched              → watch
tempest              → temp
wandered             → wander
elevated             → elevate
spirits              → spirit
clasped              → clasp
hands                → hand
exclaimed            → exclaim
said                 → say
words                → word
perceived            → perceive
stole                → steal
trees                → tree
fixed                → fix
gazing               → gaze
illuminated          → illuminate
discovered           → discover
belongs              → belong
informed             → inform
given                → give
shuddered            → shudder
sooner               → soon
teeth                → tooth
chattered            → chatter
forced               → force
passed               → pass
lost                 → lose
destroyed            → destroy
thought              → think
pursuing             → pursue
discovered           → discover
hanging              → hang
rocks                → rock
bounds               → bound
reached              → reach
disappeared          → disappear
remained             → remain
ceased               → cease
continued            → continue
enveloped            → envelop
revolved             → revolve
events               → event
sought               → seek
works                → work
hands                → hand
years                → year
elapsed              → elapse
received             → receive
turned               → turn
depraved             → deprave
murdered             → murder
suffered             → suffer
spent                → spend
scenes               → scene
considered           → consider
endowed              → endow
purposes             → purpose
forced               → force
dawned               → dawn
directed             → direct
steps                → step
gates                → gate
hastened             → hasten
knew                 → know
paused               → pause
reflected            → reflect
formed               → form
endued               → endue
met                  → meet
precipices           → precipice
remembered           → remember
seized               → seize
dated                → date
knew                 → know
communicated         → communicate
looked               → look
ravings              → raving
credited             → credit
relatives            → relative
scaling              → scale
overhanging          → overhang
sides                → side
reflections          → reflection
determined           → determine
resolved             → resolve
entered              → enter
told                 → tell
servants             → servant
went                 → go
rising               → rise
years                → year
passed               → pass
stood                → stand
embraced             → embrace
remained             → remain
gazed                → gaze
stood                → stand
painted              → paint
represented          → represent
permitted            → permit
tears                → tear
flowed               → flow
looked               → look
engaged              → engage
entered              → enter
heard                → hear
hastened             → hasten
dearest              → dear
said                 → say
months               → month
found                → find
delighted            → delight
sinking              → sink
persuasions          → persuasion
tears                → tear
fell                 → fall
eyes                 → eye
crept                → creep
imagined             → imagine
came                 → come
tried                → try
enquired             → enquire
concerning           → concern
named                → name
said                 → say
requires             → require
accused              → accuse
caused               → cause
discovered           → discover
discovered           → discover
winds                → wind
saw                  → see
replied              → reply
accents              → accent
completes            → complete
convinced            → convince
accused              → accuse
knows                → know
believes             → believe
circumstances        → circumstance
came                 → come
forced               → force
facts                → fact
leaves               → leave
tried                → try
related              → relate
discovered           → discover
taken                → take
confined             → confine
days                 → day
servants             → servant
happening            → happen
worn                 → wear
discovered           → discover
judged               → judge
showed               → show
saying               → say
went                 → go
apprehended          → apprehend
charged              → charge
confirmed            → confirm
replied              → reply
entered              → enter
saw                  → see
endeavoured          → endeavour
exchanged            → exchange
introduced           → introduce
exclaimed            → exclaim
says                 → say
knows                → know
replied              → reply
discovered           → discover
valued               → value
tried                → try
acquitted            → acquit
calmed               → calm
brought              → bring
looked               → look
senses               → sense
convinced            → convince
living               → live
joined               → join
altered              → alter
beheld               → behold
endowed              → endow
surpassing           → surpass
years                → year
allied               → ally
welcomed             → welcome
greatest             → great
said                 → say
fills                → fill
means                → mean
convicted            → convict
lost                 → lose
torn                 → tear
worse                → bad
condemned            → condemn
said                 → say
proved               → prove
spirits              → spirit
cheered              → cheer
believes             → believe
knew                 → know
prejudiced           → prejudice
rendered             → render
wept                 → weep
said                 → say
tears                → tear
laws                 → law
slightest            → slight
passed               → pass
hours                → hour
obliged              → oblige
witnesses            → witness
accompanied          → accompany
suffered             → suffer
decided              → decide
devices              → device
beings               → being
smiling              → smile
murdered             → murder
possessed            → possess
qualities            → quality
promised             → promise
obliterated          → obliterate
times                → time
confessed            → confess
ascribed             → ascribe
committed            → commit
considered           → consider
ravings              → raving
exculpated           → exculpate
suffered             → suffer
dressed              → dress
rendered             → render
feelings             → feeling
appeared             → appear
gazed                → gaze
execrated            → execrate
thousands            → thousand
obliterated          → obliterate
minds                → mind
spectators           → spectator
supposed             → suppose
committed            → commit
constrained          → constrain
adduced              → adduce
worked               → work
entered              → enter
threw                → throw
eyes                 → eye
discovered           → discover
seated               → seat
saw                  → see
recovered            → recover
began                → begin
stated               → state
witnesses            → witness
called               → call
facts                → fact
combined             → combine
staggered            → stagger
committed            → commit
perceived            → perceive
murdered             → murder
found                → find
asked                → ask
looked               → look
returned             → return
returned             → return
inquired             → inquire
passed               → pass
replied              → reply
looking              → look
demanded             → demand
heard                → hear
concerning           → concern
shown                → show
fell                 → fall
hysterics            → hysteric
kept                 → keep
days                 → day
produced             → produce
found                → find
faltering            → falter
proved               → prove
missed               → miss
placed               → place
filled               → fill
called               → call
proceeded            → proceed
altered              → alter
expressed            → express
struggled            → struggle
tears                → tear
desired              → desire
collected            → collect
powers               → power
spoke                → speak
knows                → know
said                 → say
protestations        → protestation
facts                → fact
adduced              → adduce
borne                → bear
judges               → judge
appears              → appear
related              → relate
passed               → pass
committed            → commit
situated             → situate
met                  → meet
asked                → ask
seen                 → see
lost                 → lose
alarmed              → alarm
passed               → pass
hours                → hour
looking              → look
gates                → gate
forced               → force
hours                → hour
belonging            → belong
inhabitants          → inhabitant
spent                → spend
watching             → watch
believed             → believe
slept                → sleep
minutes              → minute
steps                → step
disturbed            → disturb
awoke                → awake
quitted              → quit
gone                 → go
lay                  → lie
bewildered           → bewilder
questioned           → question
passed               → pass
concerning           → concern
continued            → continue
weighs               → weigh
explaining           → explain
expressed            → express
left                 → leave
concerning           → concern
probabilities        → probability
placed               → place
checked              → check
afforded             → afford
stolen               → steal
judges               → judge
witnesses            → witness
examined             → examine
concerning           → concern
supposed             → suppose
condemned            → condemn
witnesses            → witness
called               → call
known                → know
years                → year
spoke                → speak
supposed             → suppose
rendered             → render
saw                  → see
dispositions         → disposition
accused              → accuse
desired              → desire
said                 → say
murdered             → murder
educated             → educate
lived                → live
parents              → parent
judged               → judge
pretended            → pretend
friends              → friend
allowed              → allow
accused              → accuse
lived                → live
years                → year
appeared             → appear
creatures            → creature
nursed               → nurse
greatest             → great
attended             → attend
excited              → excite
knew                 → know
lived                → live
beloved              → belove
attached             → attach
acted                → act
produced             → produce
rests                → rest
desired              → desire
given                → give
followed             → follow
excited              → excite
turned               → turn
renewed              → renew
charging             → charge
blackest             → black
wept                 → weep
spoke                → speak
believed             → believe
knew                 → know
murdered             → murder
betrayed             → betray
perceived            → perceive
countenances         → countenance
judges               → judge
condemned            → condemn
rushed               → rush
tortures             → torture
accused              → accuse
sustained            → sustain
fangs                → fang
tore                 → tear
passed               → pass
went                 → go
lips                 → lip
parched              → parch
known                → know
guessed              → guess
ballots              → ballot
thrown               → throw
condemned            → condemn
felt                 → feel
experienced          → experience
sensations           → sensation
endeavoured          → endeavour
expressions          → expression
words                → word
sickening            → sicken
endured              → endure
addressed            → address
added                → add
confessed            → confess
observed             → observe
required             → require
glaring              → glare
judges               → judge
eyes                 → eye
deceived             → deceive
disclosed            → disclose
suspicions           → suspicion
hastened             → hasten
demanded             → demand
replied              → reply
decided              → decide
expected             → expect
judges               → judge
confessed            → confess
relied               → rely
said                 → say
loved                → love
esteemed             → esteem
smiles               → smile
eyes                 → eye
committed            → commit
heard                → hear
expressed            → express
wished               → wish
said                 → say
left                 → leave
feelings             → feeling
said                 → say
entered              → enter
sitting              → sit
hands                → hand
manacled             → manacle
rested               → rest
knees                → knee
rose                 → rise
seeing               → see
left                 → leave
threw                → throw
feet                 → foot
weeping              → weep
wept                 → weep
said                 → say
relied               → rely
enemies              → enemy
suffocated           → suffocate
sobs                 → sob
said                 → say
enemies              → enemy
believed             → believe
heard                → hear
declared             → declare
assured              → assure
confessed            → confess
confessed            → confess
lies                 → lie
sins                 → sin
condemned            → condemn
besieged             → besiege
threatened           → threaten
menaced              → menace
began                → begin
said                 → say
threatened           → threaten
moments              → moment
continued            → continue
looked               → look
doomed               → doom
subscribed           → subscribe
paused               → pause
continued            → continue
thought              → think
blessed              → bless
honoured             → honour
loved                → love
perpetrated          → perpetrate
blessed              → bless
consoles             → console
going                → go
having               → have
distrusted           → distrust
hearts               → heart
enemies              → enemy
tears                → tear
prayers              → prayer
shook                → shake
said                 → say
raises               → raise
gives                → give
worst                → bad
condemned            → condemn
resigned             → resign
awaiting             → await
retired              → retire
possessed            → possess
dared                → dare
felt                 → feel
gnashed              → gnash
teeth                → tooth
uttering             → utter
came                 → come
started              → start
saw                  → see
approached           → approach
said                 → say
said                 → say
heard                → hear
confessed            → confess
moments              → moment
sincerest            → sincere
removes              → remove
acknowledged         → acknowledge
tried                → try
gained               → gain
desired              → desire
felt                 → feel
dying                → die
allowed              → allow
wept                 → weep
passes               → pass
hides                → hide
penetrated           → penetrate
bore                 → bear
stayed               → stay
hours                → hour
cried                → cry
assumed              → assume
repressed            → repress
tears                → tear
embraced             → embrace
said                 → say
suppressed           → suppress
died                 → die
rending              → rend
failed               → fail
judges               → judge
settled              → settle
appeals              → appeal
lost                 → lose
received             → receive
answers              → answer
heard                → hear
unfeeling            → unfeele
men                  → man
purposed             → purpose
died                 → die
lips                 → lip
passed               → pass
perished             → perish
tortures             → torture
turned               → turn
smiling              → smile
accursed             → accurse
hands                → hand
ones                 → one
tears                → tear
lamentations         → lamentation
heard                → hear
loved                → love
sakes                → sake
mirrored             → mirror
countenances         → countenance
blessings            → blessing
serving              → serve
bids                 → bid
tears                → tear
hopes                → hope
succeeded            → succeed
torments             → torment
spoke                → speak
torn                 → tear
loved                → love
graves               → grave
victims              → victim
arts                 → art
feelings             → feeling
worked               → work
events               → event
follows              → follow
deprives             → deprive
died                 → die
rested               → rest
flowed               → flow
veins                → vein
pressed              → press
fled                 → flee
eyes                 → eye
wandered             → wander
committed            → commit
deeds                → deed
persuaded            → persuade
overflowed           → overflow
begun                → begin
intentions           → intention
thirsted             → thirst
beings               → being
blasted              → blast
allowed              → allow
hopes                → hope
seized               → seize
hurried              → hurry
tortures             → torture
